,7864,7859,3319,7863,3875,3874,Label
SRR13662115,0,0,0,1,1,0,1
SRR13662116,0,0,0,1,1,0,1
SRR13662117,1,1,1,0,0,1,0
SRR13662118,0,0,0,1,1,0,1
SRR13662119,1,1,1,0,0,1,1
SRR13662120,0,0,0,1,1,0,1
SRR13662121,0,0,0,1,1,0,1
SRR13662122,0,0,0,1,1,0,1
SRR13662123,0,0,0,1,1,0,1
SRR13662124,0,0,0,1,1,0,1
SRR13662125,1,1,1,0,1,1,1
SRR13662127,0,1,1,1,1,1,1
SRR13662128,1,1,1,0,0,1,0
SRR13662129,0,0,0,1,1,0,1
SRR13662130,1,1,1,0,0,1,1
SRR3202802,1,1,1,0,0,1,0
SRR3203201,1,1,1,0,0,1,1
